label,target,horizon,model,n_train,n_test,n_net_features,mae_base,rmse_base,mae_net,rmse_net,delta_mae,openmeteo_mae,openmeteo_rmse,skill_base,skill_net,delta_mae_mean,delta_mae_lo,delta_mae_hi,p_improves
band_5-10km,temp_c,1,xgboost,574,144,47,0.6822579441677069,1.0442450672937393,0.7921723021921012,1.1398822901361905,-0.10991435802439431,0.9952952437387703,1.2919623444921144,0.19173722690482564,0.11771245114400641,-0.11184469839831303,-0.18339355617859007,-0.04100300423150916,0.0
band_5-10km,temp_c,3,linear,574,144,47,1.104852772709674,1.2894734285924276,0.8897766485700177,1.0826763895641207,0.21507612413965627,0.9952952437387703,1.2919623444921144,0.0019264616420885394,0.16199075446758981,0.2142174008452871,0.11152362225273503,0.31415451402336364,1.0
band_5-10km,temp_c,3,xgboost,574,144,47,0.9812679405172356,1.3431931954683902,1.0337227907074882,1.4604887302817344,-0.05245485019025253,0.9952952437387703,1.2919623444921144,-0.039653517143655836,-0.13044218084844394,-0.05606291515009657,-0.15944008354024175,0.04170796621444569,0.156
band_5-10km,temp_c,24,linear,574,144,47,1.1419727680734872,1.329113742565594,1.3999678507461981,1.5742319081290088,-0.2579950826727109,0.9952952437387703,1.2919623444921144,-0.02875579016049734,-0.21848126212057517,-0.25620942230212884,-0.363375614966832,-0.16033418752441142,0.0
band_5-10km,temp_c,24,xgboost,574,144,47,0.9999941824874775,1.3242826880706726,1.1702833918906659,1.505857504390392,-0.17028920940318837,0.9952952437387703,1.2919623444921144,-0.025016474912249675,-0.16555835455278856,-0.1736132920180237,-0.2576453645654215,-0.08929707254976094,0.0
band_5-10km,rain_mm_1h,1,linear,574,144,47,0.3302554072138525,0.39652038754939756,0.5772637593560607,0.7190641933976245,-0.24700835214220818,0.0,0.0,,,-0.24419450074220025,-0.31528874443312505,-0.1679033065882477,0.0
band_5-10km,rain_mm_1h,1,xgboost,574,144,47,0.02726502754618802,0.18309997343500692,0.018360447238794424,0.055386088308345086,0.008904580307393595,0.0,0.0,,,0.008968902990728061,-0.012904384692228632,0.041706691182338905,0.686
band_5-10km,rain_mm_1h,3,linear,574,144,47,0.6241907764114147,0.8135147169197796,0.7616336387310113,0.9838506238076629,-0.13744286231959657,0.0,0.0,,,-0.13507974857325197,-0.2578769351451105,-0.032408869214729796,0.004
band_5-10km,rain_mm_1h,3,xgboost,574,144,47,0.007254199266955968,0.011185314078883,0.012168020382685225,0.03746686306328202,-0.004913821115729257,0.0,0.0,,,-0.005007727193511933,-0.011087536214583653,-0.0005755919674104207,0.006
band_5-10km,rain_mm_1h,24,linear,574,144,47,0.47281708044732984,0.5911886263526834,0.616601346435162,0.829717384503357,-0.14378426598783212,0.0,0.0,,,-0.14335366761161014,-0.24903964872798431,-0.042809606959737664,0.002
band_5-10km,rain_mm_1h,24,xgboost,574,144,47,0.02948898159825654,0.08365699619553392,0.04303013022465368,0.15127877937189066,-0.013541148626397138,0.0,0.0,,,-0.014095426858718181,-0.03952329060584311,0.006193564833996678,0.106
band_10-25km,temp_c,1,linear,574,144,47,0.6497919003343013,0.8227097481724359,0.529219131158842,0.7173528702004105,0.12057276917545934,0.9952952437387703,1.2919623444921144,0.36320918974163074,0.44475713765294733,0.12053473500389074,0.06683456978553878,0.17269257139619218,1.0
band_10-25km,temp_c,1,xgboost,574,144,47,0.6822579441677069,1.0442450672937393,0.7762997004507244,1.226132139243011,-0.09404175628301747,0.9952952437387703,1.2919623444921144,0.19173722690482564,0.05095365629636994,-0.09455678176306108,-0.16853667428122385,-0.028831430177230992,0.006
band_10-25km,temp_c,3,linear,574,144,47,1.104852772709674,1.2894734285924276,0.8718597022939345,1.0392794406244341,0.23299307041573947,0.9952952437387703,1.2919623444921144,0.0019264616420885394,0.19558070321857013,0.2336256523760993,0.14835951353127164,0.32239030554553016,1.0
band_10-25km,temp_c,3,xgboost,574,144,47,0.9812679405172356,1.3431931954683902,1.0476269161150795,1.4954089440762188,-0.06635897559784387,0.9952952437387703,1.2919623444921144,-0.039653517143655836,-0.15747099785952479,-0.069555307540244,-0.1675546275083171,0.02973163077682453,0.074
band_10-25km,temp_c,24,linear,574,144,47,1.1419727680734872,1.329113742565594,1.396836900050221,1.5647451729059731,-0.25486413197673374,0.9952952437387703,1.2919623444921144,-0.02875579016049734,-0.21113837378990552,-0.25357543309032826,-0.3685027516773539,-0.14690593039551517,0.0
band_10-25km,temp_c,24,xgboost,574,144,47,0.9999941824874775,1.3242826880706726,1.1309856030829886,1.492549661915849,-0.13099142059551105,0.9952952437387703,1.2919623444921144,-0.025016474912249675,-0.1552578666699358,-0.13239643390635616,-0.20287990079939167,-0.0609309576218658,0.0
band_10-25km,rain_mm_1h,1,linear,574,144,47,0.3302554072138525,0.39652038754939756,0.6993096657806563,0.886829140766482,-0.36905425856680385,0.0,0.0,,,-0.36672111889107006,-0.4520709146306287,-0.27752852291288843,0.0
band_10-25km,rain_mm_1h,1,xgboost,574,144,47,0.02726502754618802,0.18309997343500692,0.022021801097758323,0.06884100216987246,0.005243226448429696,0.0,0.0,,,0.0053160716749633945,-0.01873425578915986,0.03930054475511291,0.606
